id_w1,id_w2
10542,10764
10543,10686
10544,10683
10545,
10546,
10548,10697
10549,10681
10550,
10552,10700
10553,10778
10554,
10556,10779
10557,10730
10558,10793
10559,10687
10560,10708
10561,
10562,10733
10563,10705
10564,10743
10565,10726
10566,10725
10567,10780
10568,10694
10569,10736
10570,10704
10571,10696
10572,10768
10573,10789
10574,10695
10575,10716
10576,10692
10577,10685
10578,10754
10579,10702
10580,10718
10581,
10582,10744
10583,10723
10584,10792
10585,10781
10586,10766
10587,10709
10588,10751
10589,10714
10590,10748
10591,10688
10592,10699
10593,10739
10594,10735
10595,
10596,10760
10597,10729
10598,10776
10599,10758
10601,10703
10602,10784
10603,10690
10604,10767
10605,10701
10606,10712
10607,
10608,
10609,
10610,10759
10611,10727
10612,10693
10613,10713
10614,
10615,10740
10616,10737
10617,10774
10618,10738
10619,10777
10620,10706
10621,10742
10622,10782
10623,10724
10624,10698
10625,10741
10626,10753
10627,10769
10628,10787
10629,
10630,
10631,10719
10632,10734
10633,10796
10634,10722
10635,10691
10636,10707
10637,10684
10638,
10639,10731
10640,10750
10641,10785
10642,10765
10643,10773
10644,10682
10645,10786
10646,
10647,10711
10648,10752
10649,10720
10650,10717
10651,10772
10652,10749
10653,10728
10654,10775
10655,10689
10656,10755
10657,10732
10658,10791
10659,
10660,10761
10661,10762
10662,10715
10664,10710
10666,10756
10667,10798
10668,10790
10669,10757
10670,
10671,10721
10672,10680
10673,10770
10674,10747
10675,10794
